aligned,lapvar,lpips,method,n_inliers,niqe,pair,psnr,scenario,ssim
True,72.96720813395844,0.3101634085178375,V5_full_nopost,19,6.51676790140835,pair_05,22.01806422497757,S1,0.8094180191390516
True,1719.0369690037478,0.5209494233131409,V5_full,19,4.580224863105761,pair_05,18.45810599880924,S1,0.6766944962367658
True,72.96720813395844,0.3101634085178375,P1_fidelity,19,6.51676790140835,pair_05,22.01806422497757,S1,0.8094180191390516
True,476.9296111531555,0.3851304352283478,P2_light_post,19,4.954215051756521,pair_05,20.5850430818216,S1,0.7788136576062971
True,1603.302669735296,0.5203105211257935,A1_lightglue,38,4.720414341592491,pair_05,18.498619415585583,S1,0.679630602625678
True,882.7649155423662,0.5321590304374695,A2_raft,19,4.401526034840542,pair_05,18.866995071513916,S1,0.6871484375654606
True,1180.982683387496,0.5243306159973145,A3_learned,38,4.240052310842457,pair_05,18.730606928179885,S1,0.6880210235809975
True,66.45090071108719,0.3090590238571167,P3_fidelity_lg,38,6.5981796957708765,pair_05,22.028821671292185,S1,0.8097178557166494
,2.8080383417782016,0.34898391366004944,Base_M1,,8.566137262163931,pair_06,27.949273703086796,S1,0.8773525628682487
False,5.00893445321278,0.34168368577957153,B1_lanczos,0,7.9682932683873755,pair_06,27.934440469435557,S1,0.875441233004987
True,62.52118077262386,0.3353561758995056,B2_homog_alpha,88,4.296154282469042,pair_06,19.383781649372423,S1,0.7910329756311935
True,72.16583669855106,0.40686360001564026,B3_affine_alpha,12,4.013668431316123,pair_06,17.835333778228346,S1,0.750076197893841
True,72.16583669855106,0.40686360001564026,V2_affine_only,12,4.013668431316123,pair_06,17.835333778228346,S1,0.750076197893841
True,74.90022686617338,0.4153626561164856,V3_affine_flow,12,3.9778373469237005,pair_06,17.785592481573122,S1,0.7485705867565663
True,343.89618803296696,0.5175032019615173,V4_affine_lab,12,4.559315324965322,pair_06,19.599645973573306,S1,0.7166626469017028
True,10.563103386163608,0.3339872360229492,V5_full_nopost,12,6.356593013224416,pair_06,27.89303307906266,S1,0.8712905791337804
True,281.4443976811116,0.5174770951271057,V5_full,12,4.604794243695024,pair_06,19.63701916909394,S1,0.7199961063001955
True,10.563103386163608,0.3339872360229492,P1_fidelity,12,6.356593013224416,pair_06,27.89303307906266,S1,0.8712905791337804
True,68.97107762068644,0.3811410367488861,P2_light_post,12,4.905123368386282,pair_06,22.298106493305493,S1,0.8350755884016261
True,296.5310246479668,0.5248299837112427,A1_lightglue,23,4.189251650324184,pair_06,19.544482582807575,S1,0.7166973605924156
True,332.20217159432747,0.5055338144302368,A2_raft,12,4.389719958683741,pair_06,19.603579718220523,S1,0.7199504096459493
True,278.6807089590394,0.4982120990753174,A3_learned,23,4.43937576951387,pair_06,19.541614832678707,S1,0.723760445729039
True,11.766023692263015,0.33550071716308594,P3_fidelity_lg,23,6.114340755176226,pair_06,27.882791418800178,S1,0.8693495761615586
,2.8271473779270195,0.30090272426605225,Base_M1,,8.73623599153261,pair_07,28.225503074370838,S1,0.9012848704406641
False,5.013824590061471,0.2937205135822296,B1_lanczos,0,8.001710420388823,pair_07,28.208318113001752,S1,0.8994039532108715
True,55.69336346902804,0.2999418079853058,B2_homog_alpha,68,4.623265938166964,pair_07,19.93098047781421,S1,0.8158827066023645
True,60.46510041377828,0.3980022072792053,B3_affine_alpha,11,4.47012880518616,pair_07,17.584317472493403,S1,0.7624837861644863
True,60.46510041377828,0.3980022072792053,V2_affine_only,11,4.47012880518616,pair_07,17.584317472493403,S1,0.7624837861644863
True,69.47927374380815,0.4059896767139435,V3_affine_flow,11,4.4164520801333245,pair_07,17.548890137690037,S1,0.7600194024234771
True,304.42332102513313,0.5160687565803528,V4_affine_lab,11,4.4684936910446895,pair_07,20.287932373654726,S1,0.7214224593933255
True,12.324777350195511,0.29596590995788574,V5_full_nopost,11,6.4485409778917475,pair_07,28.15313841301488,S1,0.8914674912152516
True,286.75924944343853,0.5146477818489075,V5_full,11,4.417561499414273,pair_07,20.343565854763416,S1,0.723986956919764
True,12.324777350195511,0.29596590995788574,P1_fidelity,11,6.4485409778917475,pair_07,28.15313841301488,S1,0.8914674912152516
True,72.30043170949843,0.3713487386703491,P2_light_post,11,4.605084722482171,pair_07,22.499767823783362,S1,0.8432514724637501
True,294.2778865252073,0.480316162109375,A1_lightglue,28,4.52260029955595,pair_07,20.53355687694023,S1,0.7417155691640447
True,289.64049672603926,0.4936613142490387,A2_raft,11,4.706090772215718,pair_07,20.385161927271618,S1,0.731822946300329
True,296.5412499677073,0.46567296981811523,A3_learned,28,4.736179176956756,pair_07,20.546067800541724,S1,0.7474495256001192
True,13.435094371601416,0.29685163497924805,P3_fidelity_lg,28,5.678046487517273,pair_07,28.15970280704883,S1,0.8927448604224043
,3.0194124990234386,0.20973290503025055,Base_M1,,10.011918822714224,pair_08,29.091283505257024,S1,0.935093199299994
